SKU CODE,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb
 08-7575,1,,,,,,
 40-0040,,,,,,,
 10-6610,,,1,1,,,
 10-9050,,,,,,,
 40-1840,,,,,,,
 99-4190,1,1,1,2,2,,1
 99-4195,,,,,,,
 10-9040,,,,,,,
 09-0013,,,,,,,
 01-9601,,,,1,,,
 09-0002,,1,,1,,,
 09-0003,,,,,,1,
 09-0004,1,3,1,,,1,
 09-0004-15,,,,,,,
 09-0005,1,,,,,,
 09-0006,,,,,,,
 09-0007,,,,,,,
 09-0007-1500,,,,,,,
 09-0008,,,1,,,,
 09-0015,,,,,,,
 09-0016,,1,,,,,
 09-0040,,1,,,,,
 09-0050,,,,,,,
 09-0055,,,,,,,
 09-0065,,,,,,,
 09-0070-1072,,,1,,,,
 09-0070-2072,,,1,,,,
 09-0090,,,,,,,
 09-0099,,,,,,,
 09-0218,,,,,,,
 09-1002,,,,,,,
 09-1500,,,,,,,
 09-1604,,1,,,,,
 09-1712,,,,,,,
 09-1714,,,,,,,
 09-2004,,,,,,,
 09-2204,,,,1,,,
 09-4200,,,,,,,
 09-4400,1,2,2,,,,
 09-9900-108-1,,,,,,,
 09-9900-305-1,,,,,,,
 09-9900-308-1,,,,,,,
 10-4196,,,,,,,
 10-7672,,,1,,,,
 12-0304,,,,,,,
 12-0365,,,,,,,
 12-0402,,,,,,,
 12-0404,,,,,,,
 13-0244,,,,,,,
 16-3613,,1,,,,,
 17-0302,,,,,,,
 17-0304,,,,,,1,
 17-0365,,,,,,,
 17-0402,,,,,,1,
 17-0404,,,,,,,
 17-0465,,,,,,,
 19-0300,,,,,,,
 19-0302,,,,,,,
 19-0400,,,,1,,,
 19-0402,1,1,,,,,
 36-0050-10,,,1,1,,,
 40-5358,,,,,,,
 98-5390,,,,,,,
 98-5400,,,,,,,
 98-5410,,,,,,,
 99-5200,,,,,,,
 99-5370-12,,,,,,,
 99-5390,,,,,,,
 99-5400,,,,,,,
 99-5509,,,,,,,
 99-5510,,,,,,,
 99-5514-1,,,,,,,
 99-5539,,,,,,,
 99-5250,,,,,,,
 13-0234,,,,,,,
 12-0465,,,,,,,
 12-0302,,,,,,,
 10-6685-1,,,,,,,1
 09-0070-9954,,,,1,,,
 09-0015-0050,,,,,,,
 09-0014,,,,,,,
 09-0018,,,,,,,
 09-1840,,,,,,,
 09-1820,,1,,,,,
 09-7004,,,,,,,
 10-2596,1,,,,,,
 10-2598,,,,,,,
 10-2599,,,,,,,
 99-5410,,,,,,,
 10-4191,1,1,1,2,2,,1
 99-5520,,,,,,,
 98-5412,,,,,,,
 98-5413,,,,,,,
 44-9190,,,,,,,
 99-1001,2,,,,,,2
 99-5513,,,,,,,
 99-5512,,,,,,,
 99-5412,,,,,,,
 99-5413,,,,,,,
 98-5414,,,,,,,
 99-5414,,,,,,,
 99-5351,,,,,,,
 99-5452,,2,,,,,
 35-0052,,,1,1,,,
 80-6240-07,,,,,,,
 80-6240-08,,,,,,,
 80-6240-09,,,,,,,
 80-6240-10,,,,,,,
 20-6240-10,3,,,,,,
 20-6240-09,2,,,,,,
 20-6240-08,1,,,,,,
 20-6240-07,1,,,,,,
 99-5356,,,,,,,
 99-5451,,2,,,,,
 99-5538,,,,,,,
 99-1201,,,,,,,
 20-6237,1,,,,,,
 20-6238,2,,,,,,
 35-0005,14,14,16,10,10,8,15
 35-0076,7,6,2,2,3,2,4
 35-0077,10,13,11,3,5,5,6
 80-6237,,,,,,,
 80-6238,,,,,,,
 35-0078,40,46,22,10,14,22,19
 16-3616,,1,,,,,
 20-6242,2,,,,,,
 16-3612,,1,,,,,
 99-5401,1,,,,,,
 99-5402,1,,,,,,
 99-1000,9,6,,2,,,3
 35-0099,2,1,2,2,2,1,2
 35-0098,6,3,6,6,6,3,7
 99-5422,,,,,,,
 20-6240-02,1,,,,,,
 99-5536-1,,,,,,,
 35-0013,3,3,8,2,4,2,4
 35-0007,22,20,50,14,28,14,28
 35-0008,7,5,10,4,8,4,8
 16-3614,,2,2,,,,
 09-0000-0010,,,,,,,
 09-0000-0011,,,,,,,
 09-0000-0040,,,,,,,
 09-0001,2,7,1,1,,2,
 09-0070-9953,2,,,,,1,
 10-6681,,1,,1,,,
 16-3615,,2,2,,,,
 09-0024-13,,,,,,,
 99-5376,,,,,,,
 09-0000-0012,,,,,,,
 35-0030-10,3,3,8,2,4,2,4
 35-0020-33,3,3,8,2,4,2,4
 99-5415,,,,,,,
 99-5416,,,,,,,
 20-6243,1,,,,,,
 08-6108,,,,,,,1
 10-9075,,,,,,,
 10-9080,,,,,,,
 10-0000-0070,,,1,1,,,
 35-0093,32,18,39,33,32,16,36
 09-0000-0055,,,,,,,
 09-0000-0056,,,,,,,
 10-0000-0051,,,4,4,,,
 10-0000-0052,,,,,,,
 10-0000-0054,8,12,2,2,,,
 10-0000-0055,,,8,8,,,
 99-5304,,,,,,,
 09-0000-0047,6,,,,,,
 09-0000-0051,,,,,,,
 16-6050-02,,3,6,,,,
 16-6050-03,,3,6,,,,
 35-0024,12,12,32,8,16,8,16
 09-0000-0069,,,,,,,
 99-6224,,,,,,,
 09-0000-0019,,,,4,,,
 09-0000-0021,,4,,4,,,
 09-0000-0025,,,,,,,
 09-0000-0054,,,,,,,
 09-0000-0057,,,,,,,
 09-0000-0061,,,,,,,
 09-0070-0622,,,4,,,,
 10-0000-0056,,,4,4,,,
 10-0000-0059,,,20,20,,,
 16-3617-01,,35,43,,,,
 16-3617-02,,35,43,,,,
 35-0021,,,,,,,
 35-0035-15,12,10,25,7,15,7,16
 36-0021,,85,85,85,,,
 36-0024,,,,,,,
 99-5379,,,,,,,
 99-5382,,,,,,,
 99-5404,,,,,,,
 99-5406,,,,,,,
 99-5407,,,,,,,
 99-5408,,,,,,,
 99-5420,,,,,,,
 99-5515-01,,,,,,,
 99-5515-02,,,,,,,
 99-5515-03,,,,,,,
 99-5517-01,,,,,,,
 99-5517-02,,,,,,,
 99-5517-03,,,,,,,
 99-5517-04,,,,,,,
 99-5256,,,,,,,
 99-5255,,,,,,,
 99-5254,,,,,,,
 09-0000-0066,,,,,,,
 09-0000-0065,,,,,,,
 09-0000-0063,,,,,,,
 09-0000-0060,,,,,,,
 09-0000-0059,6,,,,,,
 09-0000-0058,,,,,,,
 35-0022,,,,,,,
 99-7004,,,,,,,
 99-7037,,,,,,,
 16-6050-01,,3,6,,,,
 35-0025,5,7,18,5,7,5,5
 09-0000-0048,,,,,,,
 09-0000-0064,,,,,,,
 10-0000-0053,,,2,2,,,
 10-0000-0057,,,1,1,,,
 99-5544-51,,,,,,,
 99-5544-50,,,,,,,
 99-5544-32,,,,,,,
 99-5544-33,,,,,,,
 35-0033,,,,,,,
 99-5305,,,,,,,
 09-0000-0053,,,,,,,
 33-9595,,,,,,,
 33-8890,,,,,,,
 33-4741,,,,,,,
 33-1451,,,,,,,
 99-5470,,2,,,,,
 20-6230,,,,,,,
 20-6330,,,,,,,
 99-5575,,,,,,,
